Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1684515906,2023-05-19T17:05:06Z,CTM1022,"21.66923,39.136734",0,0,250
1684516104,2023-05-19T17:08:24Z,CTM1022,"21.669287,39.136936",0,2,250
1684516124,2023-05-19T17:08:44Z,CTM1022,"21.669365,39.137146",0,2,247
1684516143,2023-05-19T17:09:03Z,CTM1022,"21.669415,39.137371",0,2,236
1684516162,2023-05-19T17:09:22Z,CTM1022,"21.669462,39.137573",0,2,208
1684516190,2023-05-19T17:09:50Z,CTM1022,"21.669662,39.137756",0,2,165
1684516208,2023-05-19T17:10:08Z,CTM1022,"21.669868,39.137714",0,2,163
1684516228,2023-05-19T17:10:28Z,CTM1022,"21.670078,39.13765",0,2,160
1684516246,2023-05-19T17:10:46Z,CTM1022,"21.67028,39.137569",0,2,157
1684516264,2023-05-19T17:11:04Z,CTM1022,"21.670486,39.137486",0,2,157
1684516288,2023-05-19T17:11:28Z,CTM1022,"21.67075,39.137371",0,2,160
1684516310,2023-05-19T17:11:50Z,CTM1022,"21.670952,39.137306",0,1,160
1684516678,2023-05-19T17:17:58Z,CTM1022,"21.67075,39.137383",0,3,160
1684516690,2023-05-19T17:18:10Z,CTM1022,"21.670544,39.137459",0,4,160
1684516703,2023-05-19T17:18:23Z,CTM1022,"21.670334,39.137535",0,4,160
1684516717,2023-05-19T17:18:37Z,CTM1022,"21.670132,39.137669",0,4,146
1684516727,2023-05-19T17:18:47Z,CTM1022,"21.670143,39.137909",0,4,109
1684516761,2023-05-19T17:19:21Z,CTM1022,"21.670206,39.138119",0,1,87
1684516788,2023-05-19T17:19:48Z,CTM1022,"21.670288,39.138325",0,3,73
1684516800,2023-05-19T17:20:00Z,CTM1022,"21.67037,39.138538",0,0,70
1684516808,2023-05-19T17:20:08Z,CTM1022,"21.670441,39.138756",0,5,70
1684516819,2023-05-19T17:20:19Z,CTM1022,"21.670521,39.138969",0,4,70
1684516832,2023-05-19T17:20:32Z,CTM1022,"21.670578,39.139175",0,3,70
1684516851,2023-05-19T17:20:51Z,CTM1022,"21.670658,39.139381",0,2,70
1684516869,2023-05-19T17:21:09Z,CTM1022,"21.671009,39.139492",0,6,11
1684516878,2023-05-19T17:21:18Z,CTM1022,"21.670683,39.139442",0,0,348
1684516923,2023-05-19T17:22:03Z,CTM1022,"21.672836,39.138729",0,0,340
1684516929,2023-05-19T17:22:09Z,CTM1022,"21.674408,39.138107",0,0,340
1684516947,2023-05-19T17:22:27Z,CTM1022,"21.682077,39.135082",200,134,339
1684516955,2023-05-19T17:22:35Z,CTM1022,"21.688641,39.132488",100,164,339
1684516961,2023-05-19T17:22:41Z,CTM1022,"21.693237,39.130604",275,174,339
1684516971,2023-05-19T17:22:51Z,CTM1022,"21.69928,39.128208",650,169,339
1684516977,2023-05-19T17:22:57Z,CTM1022,"21.70459,39.12611",925,169,339
1684516983,2023-05-19T17:23:03Z,CTM1022,"21.709259,39.124111",1150,171,338
1684516991,2023-05-19T17:23:11Z,CTM1022,"21.714798,39.121666",1400,175,337
1684516998,2023-05-19T17:23:18Z,CTM1022,"21.719742,39.119419",1625,177,336
1684517004,2023-05-19T17:23:24Z,CTM1022,"21.724365,39.117172",1875,177,335
1684517010,2023-05-19T17:23:30Z,CTM1022,"21.728897,39.115074",2075,176,336
1684517016,2023-05-19T17:23:36Z,CTM1022,"21.733612,39.112976",2200,175,337
1684517022,2023-05-19T17:23:42Z,CTM1022,"21.738235,39.110977",2275,177,338
1684517028,2023-05-19T17:23:48Z,CTM1022,"21.741486,39.10968",2325,179,339
1684517034,2023-05-19T17:23:54Z,CTM1022,"21.747856,39.107159",2400,184,339
1684517040,2023-05-19T17:24:00Z,CTM1022,"21.752335,39.105385",2450,187,339
1684517047,2023-05-19T17:24:07Z,CTM1022,"21.757828,39.103188",2525,190,339
1684517053,2023-05-19T17:24:13Z,CTM1022,"21.761822,39.101665",2625,190,339
1684517058,2023-05-19T17:24:18Z,CTM1022,"21.766243,39.099934",2725,192,339
1684517065,2023-05-19T17:24:25Z,CTM1022,"21.77318,39.09729",2825,194,340
1684517071,2023-05-19T17:24:31Z,CTM1022,"21.778208,39.095459",2900,195,341
1684517077,2023-05-19T17:24:37Z,CTM1022,"21.783794,39.093426",3025,196,341
1684517083,2023-05-19T17:24:43Z,CTM1022,"21.78891,39.091553",3125,196,341
1684517089,2023-05-19T17:24:49Z,CTM1022,"21.794037,39.089657",3225,197,340
1684517095,2023-05-19T17:24:55Z,CTM1022,"21.799622,39.087509",3325,197,340
1684517102,2023-05-19T17:25:02Z,CTM1022,"21.804649,39.08559",3450,198,340
1684517108,2023-05-19T17:25:08Z,CTM1022,"21.810287,39.083412",3525,200,340
1684517114,2023-05-19T17:25:14Z,CTM1022,"21.815598,39.081417",3550,204,340
1684517120,2023-05-19T17:25:20Z,CTM1022,"21.821045,39.079319",3575,209,340
1684517126,2023-05-19T17:25:26Z,CTM1022,"21.826389,39.076893",3625,212,338
1684517128,2023-05-19T17:25:28Z,CTM1022,"21.828251,39.075825",3625,213,331
1684517132,2023-05-19T17:25:32Z,CTM1022,"21.831602,39.073383",3650,214,328
1684517135,2023-05-19T17:25:35Z,CTM1022,"21.834412,39.070679",3675,215,320
1684517138,2023-05-19T17:25:38Z,CTM1022,"21.836334,39.068382",3725,216,315
1684517141,2023-05-19T17:25:41Z,CTM1022,"21.838211,39.065636",3750,218,307
1684517144,2023-05-19T17:25:44Z,CTM1022,"21.839813,39.06274",3775,218,301
1684517147,2023-05-19T17:25:47Z,CTM1022,"21.841095,39.059792",3800,220,296
1684517150,2023-05-19T17:25:50Z,CTM1022,"21.842194,39.056847",3825,221,292
1684517153,2023-05-19T17:25:53Z,CTM1022,"21.843246,39.05365",3850,224,290
1684517157,2023-05-19T17:25:57Z,CTM1022,"21.844208,39.050552",3875,227,288
1684517159,2023-05-19T17:25:59Z,CTM1022,"21.845215,39.047157",3900,230,288
1684517163,2023-05-19T17:26:03Z,CTM1022,"21.846176,39.043812",3925,233,287
1684517165,2023-05-19T17:26:05Z,CTM1022,"21.847151,39.040527",3950,236,286
1684517169,2023-05-19T17:26:09Z,CTM1022,"21.848223,39.03661",4000,238,286
1684517172,2023-05-19T17:26:12Z,CTM1022,"21.849154,39.033203",4025,240,286
1684517175,2023-05-19T17:26:15Z,CTM1022,"21.85013,39.029491",4050,243,285
1684517178,2023-05-19T17:26:18Z,CTM1022,"21.851028,39.026035",4100,247,285
1684517181,2023-05-19T17:26:21Z,CTM1022,"21.85199,39.022488",4125,249,285
1684517184,2023-05-19T17:26:24Z,CTM1022,"21.853064,39.018353",4175,251,285
1684517190,2023-05-19T17:26:30Z,CTM1022,"21.854973,39.011078",4250,256,285
1684517196,2023-05-19T17:26:36Z,CTM1022,"21.856928,39.003345",4350,261,285
1684517202,2023-05-19T17:26:42Z,CTM1022,"21.858994,38.995323",4425,267,285
1684517208,2023-05-19T17:26:48Z,CTM1022,"21.860884,38.987835",4500,272,285
1684517214,2023-05-19T17:26:54Z,CTM1022,"21.862932,38.979542",4575,277,285
1684517221,2023-05-19T17:27:01Z,CTM1022,"21.864944,38.971554",4650,282,284
1684517227,2023-05-19T17:27:07Z,CTM1022,"21.867029,38.963062",4800,284,284
1684517233,2023-05-19T17:27:13Z,CTM1022,"21.869064,38.954872",5000,284,284
1684517245,2023-05-19T17:27:25Z,CTM1022,"21.873127,38.938091",5450,281,284
1684517257,2023-05-19T17:27:37Z,CTM1022,"21.875456,38.921406",5875,277,272
1684517260,2023-05-19T17:27:40Z,CTM1022,"21.875269,38.916882",5975,276,267
1684517263,2023-05-19T17:27:43Z,CTM1022,"21.874786,38.912975",6075,275,262
1684517266,2023-05-19T17:27:46Z,CTM1022,"21.873917,38.909081",6175,274,257
1684517269,2023-05-19T17:27:49Z,CTM1022,"21.872709,38.905029",6250,275,252
1684517273,2023-05-19T17:27:53Z,CTM1022,"21.870987,38.900806",6350,275,246
1684517276,2023-05-19T17:27:56Z,CTM1022,"21.869217,38.8974",6425,276,241
1684517279,2023-05-19T17:27:59Z,CTM1022,"21.866983,38.893841",6500,277,236
1684517282,2023-05-19T17:28:02Z,CTM1022,"21.864561,38.890686",6600,278,231
1684517285,2023-05-19T17:28:05Z,CTM1022,"21.86174,38.887657",6675,279,226
1684517288,2023-05-19T17:28:08Z,CTM1022,"21.858696,38.884937",6750,280,220
1684517290,2023-05-19T17:28:10Z,CTM1022,"21.855698,38.882763",6825,282,215
1684517294,2023-05-19T17:28:14Z,CTM1022,"21.851669,38.880417",6925,283,208
1684517297,2023-05-19T17:28:17Z,CTM1022,"21.847916,38.878616",7025,284,205
